,year_month,simtotal_track,clustered_track,clustered_m_track,clustered_x_track,clustered_mx_track,self_identified_track,self_track,researcher_track,self_study_day_1_users_date_track,self_study_day_2_7_users_date_track,self_study_day_8_30_users_date_track,self_study_day_31_90_users_date_track,self_study_day_91_180_users_date_track,self_study_day_181_365_users_date_track,self_study_years_users_date_track,all_researchers,clustered_track_per,self_identified_track_per,researcher_track_per,self_track_per,all_researchers_per
168,2014-01-01,13080,6589,1596,1289,3704,67,6273,495,2811,333,339,361,223,358,1824,562,49.083730631704405,0.49910607866507745,3.687425506555423,46.72973778307509,4.186531585220501
169,2014-02-01,13367,6815,1548,1453,3814,72,6337,502,2833,333,333,384,225,363,1842,574,49.65029870319103,0.5245519452134635,3.657292729127204,46.16785662246831,4.181844674340667
170,2014-03-01,13470,6975,1568,1511,3896,73,6287,503,2771,323,333,404,223,350,1859,576,50.40468275762393,0.527532880474057,3.6349183408006933,45.43286602110131,4.162451221274751
171,2014-04-01,13447,6841,1583,1455,3803,67,6397,500,2852,332,353,411,222,350,1853,567,49.55450923578414,0.48533140166606303,3.6218761318362915,46.338283230713515,4.107207533502354
172,2014-05-01,13091,6477,1528,1341,3608,70,6410,496,2866,345,361,379,210,350,1875,566,48.1453950791645,0.5203300379097598,3.6869099829034413,47.647364900022296,4.2072400208132015
173,2014-06-01,12802,6399,1527,1281,3591,67,6210,489,2776,346,335,354,193,339,1844,556,48.60615267755412,0.5089251804025826,3.714394227117357,47.17052791492594,4.223319407519939
174,2014-07-01,12636,6355,1503,1242,3610,63,6083,489,2724,344,321,335,189,331,1814,552,48.922247882986916,0.48498845265588914,3.7644341801385677,46.82832948421863,4.249422632794457
175,2014-08-01,12352,6246,1440,1249,3557,64,5912,485,2623,324,315,322,186,328,1794,549,49.15400960100732,0.5036594003305265,3.816793893129771,46.525537105532386,4.3204532934602975
176,2014-09-01,12269,6255,1418,1295,3542,70,5816,490,2559,331,306,322,183,324,1771,560,49.52101971340353,0.5541920671364104,3.879344469954873,46.04544374950519,4.433536537091284
177,2014-10-01,12521,6551,1377,1398,3776,81,5765,498,2496,327,301,337,187,325,1774,579,50.80263668088406,0.6281504459092672,3.8619620007754945,44.707250872431175,4.490112446684762
178,2014-11-01,12578,6627,1365,1413,3849,101,5721,507,2461,326,308,334,191,323,1761,608,51.150046310589694,0.7795615930842853,3.913244828650818,44.15714726767521,4.692806421735103
179,2014-12-01,12241,6273,1308,1332,3633,112,5730,501,2472,324,318,313,202,320,1762,613,49.722574508560555,0.8877615726062142,3.9711477488902984,45.41851616994293,4.858909321496512
180,2015-01-01,12049,6103,1329,1278,3496,131,5703,506,2510,312,304,288,201,314,1757,637,49.0476573173672,1.0528007715181227,4.066543438077634,45.83299847303705,5.119344209595757
181,2015-02-01,12422,6453,1381,1364,3708,176,5705,503,2499,313,328,301,201,306,1740,679,50.26875438186492,1.371036846615253,3.9183609877697285,44.4418477837501,5.289397834384981
182,2015-03-01,12308,6313,1365,1361,3587,230,5694,506,2482,317,327,322,197,311,1721,736,49.540924429098325,1.8049125009809306,3.970807502158048,44.683355567762696,5.775720003138978
183,2015-04-01,12565,6625,1400,1395,3830,277,5617,517,2448,302,309,337,200,305,1700,794,50.820803927585146,2.1248849340288434,3.965940472537588,43.088370665848416,6.090825406566432
184,2015-05-01,12180,6359,1408,1265,3686,303,5486,509,2403,303,295,310,190,291,1679,812,50.24097337441732,2.393932211424508,4.0214900845382004,43.34360432961997,6.415422295962708
185,2015-06-01,11969,6270,1388,1240,3642,328,5350,501,2386,289,283,296,183,274,1623,829,50.36549120411278,2.6347497790987227,4.024419632098964,42.97533938468953,6.659169411197687
186,2015-07-01,11914,6329,1388,1257,3684,346,5228,500,2303,271,293,290,173,266,1617,846,51.02797710231396,2.7896476658872853,4.031282754172378,42.15109247762638,6.820930420059663
