user,ip,toolname,date,lon,lat
hctest1,128.46.19.208,workspace,2016-05-21,-86.91470336914062,40.42509841918945
dftmaterials,193.194.80.113,dftqe,2016-05-21,3.1468000411987305,36.764198303222656
ffidalgo,47.61.153.184,senstran,2016-05-21,-2.923799991607666,43.26259994506836
g.moscon,93.34.230.241,nccpf,2016-05-21,11.890000343322754,45.41019821166992
hctest2,128.46.19.208,workspace,2016-05-21,-86.91470336914062,40.42509841918945
mphilmesp,220.120.170.225,acute,2016-05-21,127.06210327148438,37.495399475097656
lee181,180.102.108.156,ddaplus,2016-05-21,118.77780151367188,32.06169891357422
mphilmesp,220.120.170.225,qdot,2016-05-21,127.06210327148438,37.495399475097656
leezs,180.102.104.24,ddaplus,2016-05-21,118.77780151367188,32.06169891357422
mphilmesp,220.120.170.225,1dhetero,2016-05-21,127.06210327148438,37.495399475097656
y8210212000,114.47.113.156,qdot,2016-05-21,120.54190063476562,24.070899963378906
kennymysterion40,27.147.203.210,abacus,2016-05-21,90.42510223388672,23.72599983215332
engamira.2011,197.49.19.250,nanomos,2016-05-21,31.222999572753906,30.035499572753906
dlasmar,90.171.232.141,fettoy,2016-05-21,-3.7016000747680664,40.41429901123047
anant.kulkarni,103.37.201.13,qudosim,2016-05-21,77.88469696044922,29.86750030517578
jiabin.chang,36.234.150.200,omenwire,2016-05-21,120.68389892578125,24.146900177001953
robindu,103.230.107.22,sha2d,2016-05-21,90.4103012084961,23.817899703979492
xpsp3,36.234.150.200,nanowire,2016-05-21,120.68389892578125,24.146900177001953
xpsp3,36.234.150.200,strainbands,2016-05-21,120.68389892578125,24.146900177001953
xpsp3,36.234.150.200,bandstrlab,2016-05-21,120.68389892578125,24.146900177001953
lalzatev,10.186.147.54,polymod,2016-05-21,,
bird168,125.87.33.180,meeppv,2016-05-21,106.5531005859375,29.556900024414062
smithjor,114.160.112.29,nmst_dft,2016-05-21,138.8791961669922,36.25910186767578
kumarrahul050892,101.60.218.101,nanofinfet,2016-05-21,12.109700202941895,43.14789962768555
kumarrahul050892,101.60.155.89,nanofinfet,2016-05-21,12.109700202941895,43.14789962768555
xpsp3,36.234.150.200,nanomos,2016-05-21,120.68389892578125,24.146900177001953
flynn,137.226.158.228,abinit,2016-05-21,6.086100101470947,50.77450180053711
antoniorm93,176.84.172.61,pntoy,2016-05-21,-4.004899978637695,40.635101318359375
rohitkumar200794,101.60.155.89,nanofinfet,2016-05-21,12.109700202941895,43.14789962768555
xpsp3,36.234.150.200,mpb,2016-05-21,120.68389892578125,24.146900177001953
xpsp3,36.234.150.200,cntbands-ext,2016-05-21,120.68389892578125,24.146900177001953
xpsp3,36.234.150.200,mgnanowirefet,2016-05-21,120.68389892578125,24.146900177001953
xpsp3,36.234.150.200,siesta,2016-05-21,120.68389892578125,24.146900177001953
bird168,125.87.35.174,meeppv,2016-05-21,106.5531005859375,29.556900024414062
