,year_month,simtotal_track,clustered_track,clustered_m_track,clustered_x_track,clustered_mx_track,self_identified_track,self_track,researcher_track,all_researchers,clustered_track_per,self_identified_track_per,researcher_track_per,self_track_per,all_researchers_per
134,2011-03-01,33489,10699,1991,2184,6524,60,22120,1020,1080,31.56140299123868,0.17699637157438272,3.0089383167645063,65.25266232042243,3.1859346883388895
135,2011-04-01,34185,11043,2067,2270,6706,62,22465,1029,1091,31.917107430850606,0.17919593051822308,2.9740743952137345,64.92962224341744,3.153270325731958
136,2011-05-01,34894,11435,2150,2367,6918,67,22773,1043,1110,32.377258055382526,0.18970496630613284,2.953168356079053,64.47986862223229,3.142873322385186
137,2011-06-01,35456,11629,2201,2418,7010,68,23128,1063,1131,32.403588943379404,0.18947837717342844,2.961992866696389,64.44493981275077,3.1514712438698176
138,2011-07-01,35929,11793,2273,2426,7094,68,23422,1079,1147,32.43220944942522,0.18700841537869203,2.9673835322589515,64.41339860293714,3.1543919476376434
139,2011-08-01,36349,11920,2301,2466,7153,73,23710,1088,1161,32.39922807208285,0.19841809138104427,2.9572449783914543,64.44510885814465,3.1556630697724986
140,2011-09-01,36845,12127,2324,2531,7272,74,23998,1093,1167,32.519038935964815,0.19843398047838678,2.9309235224713075,64.3516035610855,3.1293575029496945
141,2011-10-01,37581,12510,2390,2630,7490,76,24343,1104,1180,32.892488102437355,0.19982646648962743,2.902742355323009,64.00494307575,3.1025688218126364
142,2011-11-01,38503,13080,2488,2694,7898,77,24691,1112,1189,33.572895277207394,0.19763860369609856,2.8542094455852154,63.375256673511295,3.0518480492813143
143,2011-12-01,39379,13616,2600,2742,8274,80,25024,1120,1200,34.17670682730924,0.2008032128514056,2.8112449799196786,62.81124497991968,3.0120481927710845
144,2012-01-01,39826,13740,2669,2751,8320,85,25343,1126,1211,34.099369633196005,0.21094952102049935,2.794460713753909,62.895220132029586,3.0054102347744083
145,2012-02-01,41008,14573,2733,2926,8914,88,25682,1141,1229,35.12920644103751,0.21212997782277507,2.750458007906663,61.908205573233055,2.9625879857294377
146,2012-03-01,42031,15189,2826,3094,9269,92,26077,1156,1248,35.727054617302535,0.21639930375876182,2.7191042950557467,61.33744178388295,2.935503598814508
147,2012-04-01,42841,15588,2912,3179,9497,93,26482,1171,1264,35.97175428070337,0.21461208289103245,2.702266118982785,61.111367517422806,2.9168782018738173
148,2012-05-01,43604,15945,3062,3200,9683,96,26881,1190,1286,36.146626768226334,0.2176278563656148,2.697678636198767,60.93806673920928,2.9153064925643815
149,2012-06-01,44240,16174,3129,3238,9807,98,27282,1201,1299,36.13897888504078,0.21896994749190038,2.6834990503854317,60.95855211708189,2.902468997877332
150,2012-07-01,44742,16316,3177,3250,9889,98,27637,1211,1309,36.047898899739295,0.21651716671821836,2.6755335601608414,61.06005037338165,2.8920507268790594
